Date,Open,High,Low,Close,Volume
1-Dec-15,16.18,16.63,16.12,16.55,20103702
30-Nov-15,15.59,16.01,15.50,15.93,13495276
27-Nov-15,15.55,15.64,15.47,15.56,5018952
25-Nov-15,15.40,15.78,15.35,15.58,10003319
24-Nov-15,15.22,15.66,15.15,15.63,12222478
23-Nov-15,15.54,15.67,15.07,15.32,14048988
20-Nov-15,15.64,16.10,15.34,15.43,24068891
19-Nov-15,15.71,16.28,15.71,15.87,18278894
18-Nov-15,15.39,15.69,15.30,15.61,20071348
17-Nov-15,15.03,15.73,14.94,15.28,25249605
16-Nov-15,14.89,15.20,14.65,14.89,23731826
13-Nov-15,15.30,15.38,14.86,15.00,21071244
12-Nov-15,15.28,15.75,15.28,15.35,14296775
11-Nov-15,15.64,15.79,15.47,15.50,16199810
10-Nov-15,15.74,15.85,15.42,15.54,24591720
9-Nov-15,16.36,16.45,15.80,15.84,23642983
6-Nov-15,16.44,16.76,16.10,16.45,18047826
5-Nov-15,17.52,17.72,16.36,16.51,26766959
4-Nov-15,18.05,18.05,17.10,17.44,19246886
3-Nov-15,17.93,17.99,17.09,17.84,22131514
2-Nov-15,16.96,17.29,16.80,17.09,18767115
30-Oct-15,16.38,16.62,16.20,16.56,19248404
29-Oct-15,16.69,16.74,16.19,16.21,17073818
28-Oct-15,16.80,17.11,16.58,16.92,15151668
27-Oct-15,16.52,16.80,16.52,16.68,14697555
26-Oct-15,17.16,17.25,16.50,16.58,14901422
23-Oct-15,16.90,17.32,16.81,17.24,22439416
22-Oct-15,16.40,17.01,16.07,16.72,33986076
21-Oct-15,16.49,16.93,15.93,16.43,49193490
20-Oct-15,18.90,19.05,16.61,17.09,67592468
19-Oct-15,18.37,19.22,18.32,19.16,27543294
16-Oct-15,18.74,18.83,18.23,18.50,15587130
15-Oct-15,18.87,19.15,18.50,18.66,20397672
14-Oct-15,18.77,19.30,18.52,18.82,34627894
13-Oct-15,18.03,18.56,17.74,18.18,21778465
12-Oct-15,18.54,18.63,17.72,18.03,22494695
9-Oct-15,18.63,18.85,17.90,18.16,23392503
8-Oct-15,18.59,19.10,18.45,18.72,33619570
7-Oct-15,18.39,18.92,18.22,18.62,41913528
6-Oct-15,17.63,18.30,17.34,18.22,52109956
5-Oct-15,16.32,17.84,16.20,17.57,63718650
2-Oct-15,15.22,15.95,15.15,15.91,49688212
1-Oct-15,14.99,15.04,14.50,14.77,37460484
30-Sep-15,14.73,15.33,14.70,14.98,28066304
29-Sep-15,14.26,14.69,14.15,14.38,25529152
28-Sep-15,14.67,14.73,13.92,14.06,30448563
25-Sep-15,15.34,15.59,14.65,14.91,28917267
24-Sep-15,14.80,15.52,14.60,15.34,32800793
23-Sep-15,15.43,15.43,14.80,14.81,22567864
22-Sep-15,15.35,15.82,15.17,15.41,22763938
21-Sep-15,15.62,15.98,15.46,15.75,19024495
18-Sep-15,16.08,16.19,15.36,15.50,36698238
17-Sep-15,16.68,16.81,16.31,16.41,22827633
16-Sep-15,16.46,16.70,16.31,16.68,22363222
15-Sep-15,16.86,16.86,16.46,16.52,21319391
14-Sep-15,16.90,16.92,16.36,16.70,15178741
11-Sep-15,17.02,17.17,16.71,16.80,22107586
10-Sep-15,16.81,17.42,16.71,17.20,20766592
9-Sep-15,17.90,17.97,16.84,16.96,32951118
8-Sep-15,17.55,17.75,17.05,17.53,26817016
4-Sep-15,16.30,17.30,16.26,16.82,32420836
3-Sep-15,16.39,17.21,16.26,16.59,26377229
2-Sep-15,16.09,16.31,15.74,16.29,23478540
1-Sep-15,15.80,16.21,15.68,15.82,27914151
31-Aug-15,15.91,16.69,15.46,16.41,32916850
28-Aug-15,16.25,16.54,15.61,15.96,34099384
27-Aug-15,14.63,15.93,14.63,15.67,42971809
26-Aug-15,14.61,14.75,14.11,14.42,43819738
25-Aug-15,15.18,15.34,14.26,14.27,38655096
24-Aug-15,13.81,15.37,13.50,14.44,54531966
21-Aug-15,14.39,15.25,14.24,14.53,43715791
20-Aug-15,15.35,15.37,14.66,14.74,54864211
19-Aug-15,16.24,16.35,15.88,15.90,36873998
18-Aug-15,17.00,17.00,16.27,16.38,32424349
17-Aug-15,16.47,17.26,16.12,17.22,33000954
